company_name,founded_on,industry,headquarters,founder_experience,total_funding_usd,num_funding_rounds,investors_count,last_funding_date,status
Robinson-Gray,2011-11-22,E-Commerce,UK,4.0,15032930,1,7,,success
Cummings PLC,2019-04-25,E-Commerce,Germany,1.0,13807182,1,5,2020-09-27,fail
Merritt-Garrett,2011-11-16,AI,Singapore,7.0,21376907,2,4,,fail
"Wilson, Crawford and Butler",2012-11-13,HealthTech,UK,0.0,11832269,6,4,2016-11-17,fail
"Deleon, Mitchell and Miller",2016-09-24,Biotech,India,13.0,50524598,4,7,2021-07-06,success
Odonnell-Stevens,2019-08-26,EdTech,UK,0.0,7209902,2,4,2025-03-31,success
"White, Armstrong and Flowers",2022-10-30,,Canada,1.0,6650901,4,3,2025-03-31,fail
"Martinez, Powers and Mckenzie",2019-07-24,Gaming,Germany,,12522078,6,3,2025-03-31,fail
Kelley-Cervantes,2012-02-12,AI,US,22.0,25314895,4,5,2013-03-25,success
"Wilson, Bass and Cortez",2010-03-22,Gaming,US,0.0,12907369,2,2,,fail
Kennedy-Stanton,2018-07-07,E-Commerce,US,0.0,10217937,1,7,,success
Lewis-Jones,2015-06-27,EdTech,US,0.0,10937144,3,5,2022-05-22,fail
"Stevens, Nixon and Moore",2011-06-23,EdTech,US,7.0,11954633,1,5,2017-06-03,fail
"Sexton, Woods and Schmidt",2017-04-18,HealthTech,Canada,10.0,14515825,5,5,2018-11-02,fail
Brown-Perry,2018-08-16,Gaming,Canada,15.0,18758001,3,5,2024-07-15,fail
"Blake, Davis and Lee",2021-08-13,FinTech,US,0.0,11057866,1,3,2024-07-22,fail
Johnson PLC,2016-01-05,HealthTech,US,0.0,15973961,2,5,2020-04-21,fail
Dodson Ltd,2021-11-18,,India,29.0,23420073,1,2,,success
"Stephenson, Williams and Larsen",2015-04-03,EdTech,US,0.0,7864380,2,4,2024-09-16,success
Glenn-Robertson,2012-05-24,HealthTech,UK,4.0,21001806,1,8,2018-12-15,fail
Ferrell-Wolfe,2020-11-09,HealthTech,India,1.0,18095002,3,5,2025-03-31,fail
"Sanchez, Herrera and Shaw",2016-09-09,AI,Canada,9.0,35034476,8,9,2023-08-31,success
Garcia-Shelton,2012-12-06,SaaS,India,0.0,17322561,3,8,2021-03-01,fail
Hogan LLC,2018-12-23,FinTech,India,0.0,21310403,1,5,2024-01-13,fail
Smith-Peters,2017-11-18,E-Commerce,India,1.0,17615251,5,2,2024-03-20,fail
Smith-Hester,2014-01-01,Biotech,US,3.0,41982622,4,7,2016-10-29,success
Medina PLC,2018-01-31,HealthTech,Israel,2.0,16221881,2,3,2024-01-21,success
"Fitzgerald, White and Weaver",2013-05-29,EdTech,Singapore,8.0,14640880,3,2,2021-07-31,fail
"Powell, Carney and Marsh",2015-05-07,AI,Israel,0.0,23617716,2,4,2017-06-08,fail
Lewis PLC,2013-11-26,E-Commerce,US,5.0,16712591,2,5,2018-06-28,success
"Anderson, King and Cummings",2014-05-11,FinTech,Israel,5.0,17412358,2,3,2020-06-03,success
"Santana, Hudson and Fox",2017-06-18,AI,Israel,28.0,38433867,3,8,2024-10-27,fail
Barber-Crosby,2022-04-21,AI,India,5.0,38483841,4,10,2025-03-31,success
Brock PLC,2015-02-06,E-Commerce,Israel,2.0,9849018,1,2,2020-12-06,fail
Howard and Sons,2016-06-21,FinTech,US,1.0,24895558,4,3,2022-09-27,fail
Mccann-Foley,2013-06-29,Gaming,US,5.0,10161701,1,6,2021-04-10,success
Rodriguez and Sons,2012-03-17,,US,,20348940,4,7,2021-07-12,success
Baker-Wade,2011-01-22,E-Commerce,US,6.0,17797650,2,4,2020-04-03,fail
Beck-Robles,2012-07-06,E-Commerce,US,5.0,18526684,4,3,2013-07-17,fail
"Ramirez, Bowers and Rubio",2013-05-02,SaaS,US,1.0,8872701,1,7,2017-10-21,fail
Glenn-Ayala,2010-10-28,AI,US,2.0,28391951,3,5,2017-05-17,fail
"Hines, Ray and Mendez",2017-02-24,AI,UK,1.0,19134446,1,4,2021-08-18,success
"Serrano, Cortez and Flores",2018-05-12,E-Commerce,US,5.0,24631220,2,4,2022-12-12,fail
Velazquez LLC,2012-07-02,SaaS,UK,6.0,10235054,1,5,2020-07-16,fail
Berry-James,2019-05-11,SaaS,India,3.0,19705974,2,2,2025-03-31,fail
"Gutierrez, Nichols and Leonard",2016-11-03,HealthTech,India,8.0,21591565,7,4,,success
Young-Mclaughlin,2018-08-26,HealthTech,US,10.0,28581902,2,7,2022-05-30,fail
Randolph LLC,2012-11-02,FinTech,India,7.0,27967937,3,6,2017-11-01,fail
"Henry, Gaines and Williams",2019-07-20,SaaS,UK,5.0,19469479,8,6,2023-09-18,fail
Lewis-Kim,2020-11-24,FinTech,India,1.0,15206728,2,3,2025-03-31,fail
"Vega, Sanders and Wheeler",2022-10-29,SaaS,US,3.0,18193151,2,3,2025-03-31,fail
Campbell PLC,2010-03-25,HealthTech,UK,10.0,27616868,2,2,,success
Cochran and Sons,2018-12-17,E-Commerce,Germany,1.0,10091252,1,2,,fail
Adams-Perez,2010-12-07,E-Commerce,US,5.0,19539152,2,1,2019-02-09,fail
Lee and Sons,2020-11-23,AI,US,9.0,28677050,2,7,2024-02-12,success
Avery Inc,2011-01-30,HealthTech,India,19.0,23638106,2,5,2019-04-24,success
Mccarthy-Burns,2010-10-08,FinTech,UK,3.0,21637848,3,4,2015-05-16,fail
Schmidt Group,2013-09-15,Biotech,Singapore,9.0,52399148,5,6,2023-05-05,success
Lopez-Marshall,2020-10-13,HealthTech,US,1.0,15712933,1,6,2021-11-04,fail
Wood-Anthony,2015-02-12,E-Commerce,US,4.0,12042285,2,3,2022-04-02,fail
"Robertson, Washington and Williams",2020-03-19,FinTech,US,8.0,26368517,5,3,2023-07-02,success
Brown Group,2013-06-18,EdTech,Canada,0.0,9823232,1,3,2021-09-06,fail
Marshall Inc,2014-03-26,E-Commerce,US,2.0,12961571,3,3,2023-04-05,success
Ball Inc,2015-06-19,AI,India,6.0,35520596,2,5,2019-03-01,fail
"Leonard, Pham and Patterson",2022-06-04,HealthTech,US,0.0,14451185,1,3,2025-03-31,success
"Scott, Buchanan and Hartman",2015-03-14,E-Commerce,UK,19.0,14613902,2,1,2023-07-20,fail
Moore and Sons,2013-11-01,HealthTech,India,11.0,19871400,3,2,2021-08-28,fail
Hernandez-Spencer,2017-09-02,Gaming,US,5.0,12764885,6,4,2024-04-29,fail
"Williams, Williams and Brooks",2014-09-23,AI,US,1.0,17067096,2,4,2017-07-12,fail
"Johnson, Russell and Hays",2021-07-29,E-Commerce,India,5.0,17856687,4,6,2025-03-31,fail
"Jones, Roman and Perez",2019-10-02,Biotech,Canada,5.0,26958545,2,8,2025-03-31,fail
"Brown, Wyatt and Townsend",2021-05-25,SaaS,US,5.0,14385604,2,2,2025-03-31,fail
Scott and Sons,2013-06-12,AI,India,1.0,17980973,4,4,2022-08-11,fail
"Perez, York and Mccarthy",2015-02-11,HealthTech,Israel,3.0,14555435,3,6,2024-11-14,fail
Blake-Olsen,2013-07-05,AI,UK,1.0,27498037,1,3,2022-01-28,fail
Gray PLC,2014-07-29,AI,US,0.0,18065918,4,7,2017-08-22,fail
"Lawson, Schwartz and Goodwin",2011-03-25,EdTech,US,2.0,7171388,3,4,,fail
Montgomery-Gregory,2014-08-01,E-Commerce,US,0.0,14026953,1,4,2017-02-25,fail
Bradley-Mcconnell,2017-11-04,AI,US,4.0,21848033,3,2,2025-03-31,success
Frye PLC,2019-04-08,E-Commerce,Israel,6.0,17645237,1,1,2021-03-29,fail
Rose-Barrera,2015-07-27,Gaming,UK,5.0,16793617,1,3,2025-03-31,fail
Bond-Williams,2022-08-10,E-Commerce,India,4.0,10420154,1,5,2025-03-31,fail
Perry Group,2012-11-17,SaaS,US,4.0,20601018,1,5,2013-12-05,fail
"Novak, Gonzalez and Perez",2012-08-03,HealthTech,US,0.0,20395358,2,10,2014-02-23,fail
"Glass, Hoover and White",2010-08-27,Biotech,US,0.0,35117635,2,5,2012-07-09,success
Huynh Group,2015-06-04,AI,US,5.0,25129127,1,6,2018-04-22,fail
"Chapman, Collins and Mcdowell",2015-09-12,Biotech,Israel,14.0,42166224,6,6,2025-01-09,fail
Taylor PLC,2010-02-06,E-Commerce,US,,18209837,5,4,2019-12-10,fail
Cook and Sons,2019-02-07,E-Commerce,Singapore,5.0,19843385,2,3,2020-03-24,fail
"Larsen, Drake and Cain",2020-05-21,FinTech,US,2.0,15131202,1,3,2023-07-10,fail
"Myers, Peters and Alvarez",2022-12-22,SaaS,Israel,,14745757,1,1,2025-03-31,fail
White-Valencia,2014-01-26,HealthTech,US,0.0,12973410,2,5,2022-06-27,fail
"Reed, Baker and Salinas",2015-12-05,E-Commerce,US,0.0,9825701,3,3,,fail
Costa PLC,2020-11-01,E-Commerce,Germany,1.0,11636861,1,6,2025-03-31,success
Dudley-Thompson,2010-09-16,FinTech,India,19.0,23134030,4,5,2015-12-20,fail
Giles-Calderon,2014-07-07,AI,Canada,8.0,42605082,8,8,2022-03-03,fail
