company_name,industry,headquarters,founder_experience,total_funding_usd,num_funding_rounds,investors_count,status,last_funding_year,last_funding_month,founded_year
Higgins Ltd,AI,Germany,1.0,23084966,2,5,fail,7,4,2
Vang-Lambert,HealthTech,US,6.0,17165649,2,2,fail,10,10,10
Castro-Chavez,Gaming,India,1.0,4997894,3,7,fail,9,8,8
Nelson-Taylor,FinTech,US,6.0,25655303,2,4,fail,1,11,1
Taylor PLC,E-Commerce,US,2.0,12127990,1,5,fail,14,3,12
Johnson-Riggs,SaaS,India,1.0,19065673,3,4,fail,14,3,9
"Thomas, Petersen and Harris",AI,India,15.0,33417311,7,3,fail,8,10,8
Wilson-Chan,E-Commerce,Germany,7.0,15290548,2,9,fail,2,7,0
"Spencer, Shaffer and Thomas",EdTech,US,5.0,7621123,1,4,fail,5,4,4
Sullivan Ltd,Biotech,India,1.0,17685342,1,5,success,4,8,2
"Davis, Kim and Smith",Gaming,US,3.0,7611103,1,5,fail,14,3,6
Bowman and Sons,E-Commerce,India,0.0,8795886,2,7,fail,11,7,6
"Hanson, Joyce and Wilson",Biotech,US,12.0,46968830,4,9,success,7,1,3
Patterson PLC,FinTech,UK,17.0,29025275,2,3,fail,14,3,12
Murphy PLC,FinTech,India,6.0,33331834,2,5,fail,11,10,9
Russo-Lawrence,SaaS,US,9.0,17502388,2,2,fail,14,3,11
"Martinez, Hanson and Thomas",HealthTech,US,0.0,14782758,2,5,fail,9,2,7
Parrish-Copeland,FinTech,India,2.0,21855849,5,6,success,5,6,1
"Dennis, Mcdaniel and Gordon",HealthTech,US,2.0,9720763,2,4,fail,5,4,2
Ortiz and Sons,E-Commerce,India,4.0,19293523,1,8,fail,9,7,7
Quinn-Cook,EdTech,India,1.0,7810299,1,1,fail,7,6,5
Mata-Rodgers,AI,UK,4.0,36862222,3,7,fail,14,3,7
Dodson Inc,HealthTech,Singapore,5.0,15527019,3,4,fail,5,10,2
Green PLC,AI,India,0.0,13871733,2,3,fail,13,10,4
Foster-Ward,Gaming,Canada,0.0,15561098,2,2,fail,7,1,0
Martinez PLC,SaaS,Germany,0.0,13704531,2,3,success,9,9,7
Cook Inc,E-Commerce,Israel,7.0,10648402,1,5,fail,8,5,8
"Briggs, Love and Henderson",E-Commerce,US,2.0,42270091,4,6,fail,14,3,12
Miller PLC,EdTech,Canada,1.0,6718932,3,2,success,12,12,5
Flores-Odom,FinTech,Israel,7.0,21281303,3,4,success,10,6,3
"Miller, Hanna and Lawson",FinTech,US,0.0,20107326,3,2,fail,8,4,4
"Archer, Powers and Farmer",E-Commerce,Singapore,6.0,9814912,3,2,success,14,3,9
Finley Ltd,HealthTech,UK,4.0,18305686,1,4,fail,12,4,10
Fields-Avila,AI,US,4.0,18697257,1,3,fail,6,11,1
Joyce-Wilson,FinTech,Canada,0.0,12706152,6,3,fail,8,1,7
Johnson-George,Gaming,US,0.0,10942764,1,4,success,8,2,6
Quinn Ltd,E-Commerce,US,4.0,15486174,8,3,fail,8,9,1
"Perez, Brooks and Hawkins",Gaming,India,0.0,10732567,1,6,fail,14,3,6
"Phillips, Garcia and Williams",Biotech,India,10.0,33407695,3,9,success,13,2,5
Lucas LLC,FinTech,Canada,2.0,20452207,2,4,fail,1,10,0
Crane Ltd,E-Commerce,India,2.0,9319743,5,2,fail,9,4,5
Thomas Group,FinTech,Canada,1.0,19715328,2,3,success,9,8,7
"Baker, Cruz and Joseph",AI,India,5.0,39440910,8,7,success,5,4,3
Smith PLC,FinTech,US,4.0,6818379,1,2,fail,9,12,6
Mcgee PLC,E-Commerce,Canada,2.0,21681485,2,5,fail,4,8,2
"Bailey, Shelton and Harrington",Biotech,US,3.0,41737378,2,8,success,14,3,10
Santos-Wood,EdTech,Canada,2.0,4927754,1,5,fail,6,10,0
Holland-Love,Gaming,US,2.0,15246061,2,6,fail,9,6,8
Smith-Bowen,FinTech,US,0.0,15981971,1,5,fail,9,10,4
Jackson-Martinez,E-Commerce,Germany,0.0,20141220,3,5,fail,13,3,10
"Clark, Snow and Kramer",FinTech,US,0.0,29499929,8,5,success,14,3,8
Fleming-Stafford,Biotech,UK,1.0,29897048,3,7,fail,2,12,2
Davis-Rice,E-Commerce,UK,11.0,14475615,3,3,fail,14,3,9
"Dawson, Klein and Johnson",FinTech,US,4.0,17542985,2,3,fail,8,10,7
Watts-Walters,EdTech,India,15.0,14865500,5,5,success,14,3,10
Brown and Sons,Biotech,India,2.0,17179710,2,5,fail,11,6,4
Barry-Castro,Biotech,Singapore,2.0,28416186,8,5,success,3,7,0
Adkins PLC,HealthTech,US,6.0,24303496,4,8,success,12,7,11
Martin-Chavez,HealthTech,US,4.0,20451101,2,3,success,11,4,5
Jones-Williams,AI,US,3.0,29882230,3,5,fail,9,2,2
Chavez Inc,AI,UK,4.0,23230419,3,7,success,9,5,9
"Wood, Parker and Benson",EdTech,UK,4.0,11051452,1,3,fail,14,3,12
Savage PLC,HealthTech,Israel,7.0,12757210,3,5,success,14,3,10
Castillo PLC,Biotech,Israel,5.0,34001603,2,8,fail,3,9,3
Hayes LLC,AI,US,15.0,43000783,4,8,fail,7,9,2
"Gonzales, Taylor and Lam",SaaS,India,14.0,18562979,5,8,fail,4,3,0
"Alexander, Malone and Kirk",AI,Germany,2.0,26085365,3,5,fail,5,9,2
Anderson-Johnson,E-Commerce,Israel,3.0,13054058,4,1,fail,7,1,2
"Holloway, Watkins and Wilson",Biotech,US,0.0,41856664,3,4,fail,14,3,10
Vaughan LLC,AI,India,0.0,25345901,1,4,fail,2,1,1
Moss Inc,Gaming,Israel,0.0,7534664,1,3,fail,3,7,1
Butler-Berry,Biotech,US,2.0,21397211,2,3,fail,8,6,5
"Alexander, Garza and Holmes",EdTech,India,0.0,9907685,1,2,fail,12,11,10
Noble PLC,AI,Israel,4.0,14811790,1,5,fail,0,8,0
Bennett-Turner,FinTech,Canada,1.0,13460807,1,3,fail,12,7,7
"Turner, Butler and Hensley",FinTech,US,3.0,23464963,1,3,fail,8,3,5
Johnson-Thomas,HealthTech,US,0.0,15637074,1,3,fail,10,11,7
"Garza, Parker and Martinez",HealthTech,US,8.0,30189374,2,5,fail,11,7,4
Bradley Inc,HealthTech,Israel,3.0,20011615,4,5,success,3,1,1
Taylor PLC,E-Commerce,Singapore,2.0,13169603,1,1,success,14,2,12
"Mills, Mendoza and Garza",E-Commerce,Germany,12.0,15748832,2,3,success,14,3,12
Lewis-Mendez,E-Commerce,India,1.0,15951718,1,2,fail,14,3,9
Solis-Patterson,FinTech,US,8.0,28175358,1,2,success,8,5,6
Miller and Sons,FinTech,UK,3.0,5998523,1,2,fail,14,3,8
York-Wright,EdTech,US,1.0,5473140,2,4,fail,9,2,0
Graham-Johnston,AI,UK,0.0,19257509,3,3,fail,14,3,8
Ramirez-Harper,E-Commerce,UK,0.0,10014920,1,4,success,14,3,12
Greer-Jones,AI,India,9.0,41744651,4,9,success,10,4,6
Mccarthy-Lopez,SaaS,Singapore,4.0,18074110,3,5,success,14,3,9
"Shaffer, Arias and Waller",E-Commerce,US,1.0,12287211,1,3,fail,6,7,2
Thomas-Ramirez,AI,Germany,3.0,21544922,6,6,success,9,6,7
Nelson-Boone,Biotech,India,0.0,29641962,2,4,fail,8,12,7
Harper-Hall,SaaS,Germany,0.0,21446118,5,5,success,9,6,4
"Knapp, Taylor and Alvarado",E-Commerce,UK,11.0,14448705,1,5,fail,8,5,7
Edwards Ltd,AI,US,3.0,14795194,6,3,fail,13,9,10
Williams Ltd,Biotech,US,2.0,37892504,5,6,fail,14,3,12
Hardin Group,AI,Germany,2.0,25876836,2,8,success,10,12,2
Jenkins-Hayes,Gaming,US,1.0,8949642,1,1,fail,14,3,12
Hernandez LLC,E-Commerce,India,4.0,12473828,3,4,fail,9,2,0
Garcia-Diaz,Biotech,US,4.0,35770092,2,5,fail,7,12,4
"Mendez, Irwin and Hendricks",AI,India,0.0,21647114,4,5,success,4,8,2
Travis and Sons,FinTech,Germany,5.0,14007017,4,5,fail,14,3,7
Reid Inc,AI,US,7.0,22611967,1,5,fail,1,8,1
Mayer-Williamson,E-Commerce,UK,4.0,14376953,2,5,success,14,3,11
Stewart PLC,FinTech,Canada,10.0,32197035,5,9,success,8,12,4
Wolfe LLC,E-Commerce,US,1.0,16762641,1,4,fail,6,9,4
Wright-James,E-Commerce,Germany,1.0,17492056,5,3,fail,9,11,8
"Duarte, Fuller and Hunter",SaaS,US,5.0,20007521,4,5,fail,14,3,12
Nelson PLC,E-Commerce,US,1.0,12831322,4,4,fail,8,4,2
Davidson LLC,HealthTech,India,3.0,10869298,1,5,success,9,7,4
Baker and Sons,Biotech,US,0.0,21849195,1,3,success,14,3,9
Smith-Hall,E-Commerce,Canada,7.0,20024114,2,6,fail,13,12,8
"Suarez, Cannon and Lucas",AI,US,0.0,17102315,1,5,fail,13,10,7
Marks-Evans,AI,US,1.0,27380840,4,6,success,8,1,7
"Davis, Bradley and Fletcher",Gaming,India,7.0,16504461,2,5,fail,14,3,8
Cruz LLC,EdTech,Germany,3.0,7994416,1,2,fail,10,5,7
Brown-Johnson,E-Commerce,US,1.0,14445190,4,3,fail,14,3,9
Walter Group,E-Commerce,Canada,6.0,8976653,2,1,fail,6,8,3
"Wilkins, Williams and Perez",HealthTech,Singapore,6.0,24087905,1,7,fail,13,3,5
"Gomez, Mitchell and Yu",AI,India,3.0,43162904,7,10,success,5,3,4
"Jackson, Hunter and Johnson",Biotech,Germany,1.0,29486838,8,2,fail,9,4,4
Hicks-Dickerson,AI,India,4.0,17044811,1,6,fail,10,3,5
"Donovan, Powell and Nelson",SaaS,US,13.0,27303598,2,6,fail,12,11,9
Brewer-Suarez,EdTech,US,0.0,10390277,1,5,fail,6,2,6
Morales Group,SaaS,US,1.0,13513031,7,3,fail,7,7,3
"Taylor, Williamson and Newton",Biotech,Singapore,1.0,16302363,2,6,fail,14,3,11
Bowen PLC,E-Commerce,US,3.0,17391213,5,2,fail,14,3,7
"Howard, Thomas and Reeves",HealthTech,UK,5.0,18878557,5,7,success,5,1,3
"Johnson, Morgan and Marks",AI,US,1.0,30862347,4,6,success,5,1,1
Grant and Sons,EdTech,UK,1.0,6321276,1,5,fail,13,10,12
Haas-Trevino,HealthTech,US,13.0,22839993,2,5,success,14,3,12
"Barton, Anderson and Young",FinTech,Canada,7.0,20880784,5,7,fail,14,3,10
"Nicholson, Warren and Gilbert",E-Commerce,US,3.0,24189695,1,10,fail,6,10,1
"Adams, Watson and Adams",Biotech,Israel,8.0,34630210,6,4,fail,13,8,5
"Walker, Miller and Perez",EdTech,Canada,2.0,6780436,2,2,fail,14,3,9
"Ramos, Chandler and Daugherty",E-Commerce,UK,3.0,6063755,6,2,success,14,3,10
Ponce PLC,HealthTech,US,4.0,18173930,3,2,success,6,6,4
Webb Inc,E-Commerce,US,2.0,15382993,1,8,fail,9,7,9
Freeman and Sons,HealthTech,Canada,2.0,9365887,1,1,fail,14,3,10
"Pena, Hamilton and Hudson",FinTech,US,2.0,28847686,2,3,fail,12,10,5
"Larson, Long and Cordova",Gaming,US,13.0,17255490,1,3,fail,14,3,12
Pollard Group,Biotech,India,0.0,21019329,6,5,success,4,9,3
Gray Ltd,HealthTech,US,1.0,7994943,2,3,fail,14,3,9
Perkins-Hudson,FinTech,US,4.0,26505739,3,4,fail,13,10,9
Hess-French,E-Commerce,India,10.0,11132704,8,4,fail,13,1,4
"Gutierrez, Cobb and Flores",E-Commerce,US,12.0,28614959,3,4,fail,14,3,10
"Petty, Jones and Simpson",HealthTech,US,4.0,11369952,2,4,fail,13,11,8
"Taylor, Bryant and Butler",E-Commerce,India,0.0,14542475,2,3,success,12,4,8
"Chapman, Donovan and Mooney",E-Commerce,US,2.0,9923602,3,5,fail,8,4,1
Clark and Sons,SaaS,Germany,12.0,25038205,2,5,fail,7,9,5
Taylor-Baker,EdTech,US,3.0,5200804,3,2,fail,14,3,11
Rogers-Lopez,AI,UK,6.0,31061635,3,5,fail,14,3,12
